19	6	151	1
2233	2	57	1
182	23	112	1
22	17	21	1
3	8	742	1
507	2	55	1
154	25	56	1
100	83	18	1
1110	2	31	1
141	29	7	1
6	5	22	1
1574	0	1372	1
456	21	770	1
30	6	696	1
13	81	4	1
25	8	89	1
42	0	400	1
246	6	155	1
182	3	43	1
833	2	2958	1
362	14	211	1
166	6	696	1
1447	37	17	1
393	0	0	1
82	6	3827	1
141	20	11	1
2001	6	180	1
99	2	804	1
6229	3	1	1
141	4	11	1
4639	25	4269	1
21	3	63	1
4639	25	5628	1
11	9	2236	1
27	7	3386	1
27	7	3193	1
354	8	1191	1
969	0	1516	1
4	81	13	1
153	2	180	1
141	75	7	1
641	8	290	1
345	21	55	1
19	6	17	1
15	106	913	1
0	26	5	1
200	96	8	1
17	2	705	1
22	4	6	1
312	20	11	1
6	3	22	1
1021	0	6366	1
100	37	31	1
220	39	313	1
202	3	1	1
72	3	130	1
2088	8	389	1
1355	6	121	1
44	41	3	1
11	5	141	1
2043	0	93	1
7	16	0	1
1720	15	3	1
93	21	511	1
127	24	64	1
14	81	58	1
389	38	2088	1
127	31	64	1
0	16	7	1
913	28	6658	1
316	0	1	1
122	7	46	1
6620	6	180	1
154	25	3	1
270	2	16	1
55	26	0	1
484	3	1	1
1	6	7108	1
19	32	17	1
44	6	3	1
362	6	211	1
58	1	53	1
51	1	247	1
92	10	93	1
11	7	1151	1
46	6	2384	1
354	8	4015	1
913	114	15	1
19	18	17	1
21	17	22	1
290	50	389	1
53	1	58	1
3201	2	751	1
28	11	2	1
83	0	15	1
27	0	10	1
19	21	184	1
68	0	85	1
42	2	291	1
100	72	31	1
2172	3	43	1
511	21	93	1
29	6	81	1
627	0	104	1
247	1	51	1
456	10	31	1
7	15	0	1
2233	2	182	1
1683	33	5	1
64	28	357	1
142	33	1	1
969	4	5	1
5	5	969	1
48	0	9	2
2352	6	7098	2
0	2	269	2
2490	0	2739	2
212	1	4	2
43	5	182	2
141	75	7	2
1396	11	104	2
19	6	17	2
234	4	0	2
382	9	11	2
4065	7	1113	2
389	2	99	2
1998	18	99	2
80	16	0	2
2674	0	8	2
20	6	86	2
324	7	2	2
295	3	220	2
14	22	1	2
9	26	2	2
57	4	43	2
310	3	1041	2
0	15	80	2
32	18	340	2
277	0	226	2
757	7	264	2
0	5	234	2
607	0	86	2
100	3	18	2
331	13	2	2
31	52	18	2
1262	29	252	2
0	26	57	2
100	163	578	2
638	0	197	2
22	1	6	2
141	8	7	2
21	1	22	2
0	7	11	2
1448	132	157	2
1041	0	310	2
429	18	144	2
54	21	187	2
8	0	87	2
2	2	467	2
2096	7	1611	2
5290	11	2555	2
1669	8	2688	2
22	12	6	2
29	6	81	2
103	3	3766	2
230	22	1218	2
5824	2	15	2
277	51	211	2
25	69	173	2
805	2	2	2
104	11	1396	2
499	12	43	2
7	0	5	2
577	0	698	2
362	14	61	2
331	0	9	2
10	12	0	2
4089	0	56	2
2	8	9	2
584	0	9	2
143	0	20	2
2715	1	606	2
43	5	57	2
6	12	22	2
206	9	1555	2
64	109	645	2
1073	0	2731	2
307	10	2	2
51	1	247	2
1004	6	3827	2
10	8	27	2
21	5	212	2
950	0	18	2
242	25	628	2
362	6	122	2
295	0	220	2
3386	32	28	2
100	14	536	2
251	19	76	2
1669	50	1730	2
40	8	33	2
708	23	9	2
1417	33	78	2
21	3	22	2
197	8	309	2
197	0	9	2
606	1	2715	2
308	0	512	2
83	97	15	2
106	6	2	2
189	2	234	2
32	34	16	2
510	9	42	2
503	0	11	2
138	11	64	2
3794	40	2	2
229	6	325	2
229	30	325	2
3	2	524	2
63	5	6	2
7	8	630	2
2172	24	43	2
100	83	18	2
9	0	591	2
31	100	18	2
4962	100	153	2
230	2	1218	2
141	0	11	2
51	0	115	2
149	0	86	2
1019	6	482	2
212	4	21	2
6	3	22	2
103	7	64	2
8	11	87	2
3007	0	120	2
9	15	959	2
1136	7	261	2
197	9	309	2
22	8	1	2
76	19	251	2
308	18	32	2
323	0	56	2
1998	9	389	2
182	4	43	2
115	0	36	2
21	3	63	2
6	1	22	2
33	2	266	2
327	0	9	2
0	16	80	2
289	0	268	2
3017	8	89	2
43	12	499	2
44	41	3	2
141	0	5093	2
49	32	4592	2
6	3	347	2
170	0	2558	2
933	22	912	2
13	0	0	2
153	2	180	2
2937	7	211	2
138	0	1590	2
584	2	2	2
4	1	212	2
82	0	1004	2
180	13	310	2
234	7	1543	2
6	4	63	2
0	12	10	2
4796	18	548	2
673	33	3	2
141	29	7	2
3	8	294	2
482	10	1214	2
19	18	17	2
2588	0	1184	2
22	4	6	2
6	5	22	2
22	1	21	2
19	9	17	2
122	7	46	2
247	1	51	2
154	10	56	2
64	11	4064	2
1878	2	2802	2
14	81	58	3
293	0	1	3
2172	24	43	3
1058	2	856	3
1975	4	66	3
86	0	108	3
262	0	10	3
6	3	22	3
362	6	211	3
43	5	57	3
66	5	1975	3
22	1	6	3
6	1	22	3
413	0	9	3
7	26	11	3
275	26	3	3
3	42	1470	3
290	76	1138	3
2521	1	4910	3
31	2	18	3
467	12	9	3
310	2	153	3
1058	0	856	3
206	0	14	3
6	4	63	3
9	12	467	3
22	12	6	3
3	2	1178	3
54	21	187	3
127	24	64	3
2	2	467	3
