0	0	1
2	1	3
4	2	5
6	3	7
8	4	9
16	8	17
18	9	19
22	11	23
26	13	27
30	15	31
32	16	33
34	17	35
38	19	39
40	20	41
42	21	43
44	13	45
58	28	59
60	9	61
62	29	58
63	13	64
65	11	66
67	30	68
75	34	76
81	37	82
83	38	84
85	39	86
87	38	88
89	40	90
93	20	41
96	41	24
97	42	58
98	30	99
100	43	101
106	46	107
108	47	109
110	20	111
112	11	113
114	48	58
115	9	116
117	49	118
119	50	120
121	48	58
122	13	123
126	37	127
128	52	129
131	3	132
135	54	136
137	55	138
139	49	140
141	56	138
143	58	144
145	59	146
147	60	148
149	61	150
151	9	152
153	62	154
155	3	156
157	9	158
159	43	101
160	50	161
164	13	165
89	40	166
173	4	174
175	48	176
177	43	101
180	65	181
184	67	185
188	69	189
196	40	197
198	17	35
201	30	202
203	3	204
205	43	101
206	52	207
208	43	101
211	15	212
213	73	214
215	74	216
217	75	218
221	52	222
227	17	35
228	42	229
232	78	233
234	79	235
236	20	58
243	43	101
246	20	247
250	21	251
242	84	247
252	52	253
254	85	255
259	9	250
260	40	261
262	74	263
264	88	265
266	52	267
268	89	251
271	13	272
275	37	276
277	48	278
282	46	283
284	92	285
287	93	288
289	50	290
295	95	296
297	1	298
301	96	302
305	11	306
310	67	211
311	92	312
313	20	314
315	9	316
320	2	321
326	101	326
327	41	328
333	104	334
335	69	336
337	30	338
340	105	341
342	61	343
344	106	345
346	107	138
351	109	352
353	110	49
358	61	359
360	61	361
362	30	338
363	16	364
371	20	372
375	113	376
379	8	17
287	61	383
386	11	387
390	30	391
392	117	393
394	118	395
396	119	397
398	17	35
399	61	400
407	13	408
417	13	418
421	52	4
423	122	424
428	37	429
430	9	431
432	38	433
434	13	435
436	54	437
323	11	440
441	123	442
443	124	444
450	21	451
452	19	453
454	13	455
456	75	457
462	37	463
464	125	465
466	43	101
467	9	468
479	52	253
481	20	482
483	129	484
485	48	58
492	61	493
140	132	494
495	89	43
496	133	497
499	134	500
501	13	502
503	20	504
505	20	111
508	136	509
519	37	520
525	9	526
527	13	528
531	140	532
534	142	535
536	3	537
539	28	540
541	37	542
543	118	544
545	143	546
547	37	548
549	37	161
554	119	555
556	11	557
560	145	561
566	46	567
568	147	569
570	47	571
572	38	573
574	39	575
582	42	583
584	149	584
588	38	589
273	11	592
593	47	594
595	13	596
597	153	598
476	1	602
607	13	608
609	38	610
611	50	612
615	154	616
623	20	58
626	38	627
628	11	629
632	13	633
634	48	635
637	73	638
639	13	640
641	157	642
543	118	645
648	84	58
612	11	649
650	30	651
660	13	661
662	37	663
666	4	10
40	20	465
673	1	674
683	11	684
687	119	688
689	79	690
691	13	692
697	54	698
699	142	700
707	9	227
